Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
Columbia County,District Attorney,District Attorney,1,Jane E. Kohlwey,20033,96.56,20747,1,11/7/12
Columbia County,County Clerk,County Clerk,1,Sue Moll,21801,98.1,22224,1,11/7/12
Columbia County,County Treasurer,Treasurer,1,Deborah A. Raimer,21621,98.21,22016,1,11/7/12
Columbia County,Register of Deeds,Register of Deeds,1,Lisa Walker,21478,98.23,21865,1,11/7/12
Columbia County,Sheriff,Sheriff,1,Dennis Richards,13559,56.57,23742,1,11/5/14
Columbia County,Sheriff,Sheriff,1,Jesse C. Weaver,10183,42.49,23742,0,11/5/14
Columbia County,Clerk of Circuit Court,Clerk of Circuit Court,1,Susan Raimer,18320,98.21,18653,1,11/5/14
Columbia County,District Attorney,District Attorney,1,Jane E. Kohlwey,14180,52.54,26934,1,11/9/16
Columbia County,District Attorney,District Attorney,1,Douglas W. Kammer,12754,47.26,26934,0,11/9/16
Columbia County,County Clerk,County Clerk,1,Sue Moll,22796,98.37,23173,1,11/9/16
Columbia County,County Treasurer,County Treasurer,1,Deborah A. Raimer,22759,98.55,23094,1,11/9/16
Columbia County,Register of Deeds,Register of Deeds,1,Karen A. Manske,21739,98.59,22050,1,11/9/16
Columbia County,Sheriff,Sheriff Columbia,1,Roger L. Brandner,20719,96.94,21372,1,11/6/18
Columbia County,Clerk of Circuit Court,Clerk of Circuit Court Columbia,1,Susan Raimer,20519,97.66,21011,1,11/6/18
Columbia County,District Attorney,District Attorney Columbia,1,Brenda L. Yaskal,21022,96.24,21844,1,11/3/20
Columbia County,County Clerk,County Clerk Columbia,1,Sue Moll,25679,98.01,26201,1,11/3/20
Columbia County,County Treasurer,County Treasurer Columbia,1,Stacy L. Opalewski,25030,98.1,25516,1,11/3/20
Columbia County,Register of Deeds,Register of Deeds Columbia,1,Lisa Krintz,25073,98.17,25541,1,11/3/20
Columbia County,Sheriff,Sheriff Columbia,1,Roger L. Brandner,20065,97.05,20674,1,11/8/22
Columbia County,Clerk of Circuit Court,Clerk of Circuit Court Columbia,1,Julie Kayartz,19488,97.3,20028,1,11/8/22
Columbia County,County Clerk,County Clerk Columbia,1,Sue Moll,26524,98.1,27050,1,11/5/24
Columbia County,County Treasurer,County Treasurer Columbia,1,Stacy L. Opalewski,26143,98.2,26614,1,11/5/24
Columbia County,Register of Deeds,Register of Deeds Columbia,1,Christine M. Clark,26078,98.3,26518,1,11/5/24
