Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date,Term (years),Office Start Date,Re-Election Date,Term End Date,First Name,Middle Name,Last Name,Full Name,Contact ID
Fall River School District,School Board Member,School Board Member Fall River School District,3,Jeff Abegglen,246,25.36,966,1,4/5/22,3,4/25/22,4/1/25,4/28/25,Jeff,,Abegglen,"Abegglen, Jeff",Not Found
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,David Abendroth,7,100,7,1,4/13/20,3,4/27/20,4/4/23,4/24/23,David,,Abendroth,"Abendroth, David",Not Found
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,David Abendroth,2,100,2,1,4/4/17,3,4/24/17,4/7/20,4/27/20,David,,Abendroth,"Abendroth, David",Not Found
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,David Abendroth,10,100,10,1,4/4/23,3,4/24/23,4/7/26,4/27/26,David,,Abendroth,"Abendroth, David",Not Found
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,David Abendroth,2,40,5,0,4/1/14,3,4/28/14,4/4/17,4/24/17,David,,Abendroth,"Abendroth, David",Not Found
Village of Pardeeville,Village President,Village President Village of Pardeeville,1,Robert Abrath,195,49.12,394,0,4/7/15,2,4/27/15,4/4/17,4/24/17,Robert,,Abrath,"Abrath, Robert",Not Found
Village of Pardeeville,Village President,Village President Village of Pardeeville,1,Robert Abrath,219,42.69,512,0,4/4/17,2,4/24/17,4/2/19,4/22/19,Robert,,Abrath,"Abrath, Robert",Not Found
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,229,28.45,805,1,4/3/12,2,4/23/12,4/1/14,4/28/14,Robert,,Abrath,"Abrath, Robert",Not Found
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,173,17.95,964,1,4/2/19,2,4/22/19,4/6/21,4/26/21,Robert,,Abrath,"Abrath, Robert",Not Found
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,193,29.47,655,1,4/6/21,2,4/26/21,4/4/23,4/24/23,Robert,,Abrath,"Abrath, Robert",Not Found
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,291,24.17,1196,1,4/5/16,2,4/25/16,4/3/18,4/23/18,Robert,,Abrath,"Abrath, Robert",Not Found
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,164,29.13,563,1,4/1/14,2,4/28/14,4/5/16,4/25/16,Robert,,Abrath,"Abrath, Robert",Not Found
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Bret Achterberg,526,23.94,2197,0,4/3/18,3,4/23/18,4/6/21,4/26/21,Bret,,Achterberg,"Achterberg, Bret",Not Found
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,3,Bret Achterberg,860,26.63,3230,1,4/2/19,3,4/22/19,4/5/22,4/25/22,Bret,,Achterberg,"Achterberg, Bret",Not Found
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Bret Achterberg,785,52.93,1483,1,4/5/22,3,4/25/22,4/1/25,4/28/25,Bret,,Achterberg,"Achterberg, Bret",Not Found
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,3,Donald Chuck Achterberg,665,15.44,4295,0,4/13/20,3,4/27/20,4/4/23,4/24/23,Donald,Chuck,Achterberg,"Achterberg, Donald",Not Found
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Donald Chuck Achterberg,447,25.35,1754,0,4/6/21,3,4/26/21,4/2/24,4/22/24,Donald,Chuck,Achterberg,"Achterberg, Donald",Not Found
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Dobie J. Adam,91,7.7,1171,0,4/4/23,2,4/24/23,4/1/25,4/28/25,Dobie,J.,Adam,"Adam, Dobie",Not Found
City of Columbus,Alderperson District 1,Alderperson District 1,1,Aaron S. Adams,292,51.87,562,1,4/2/13,2,4/22/13,4/7/15,4/27/15,Aaron,S.,Adams,"Adams, Aaron",Not Found
City of Columbus,Alderperson District 1,Alderperson District 1,1,Aaron S. Adams,158,95.18,166,1,4/7/15,2,4/27/15,4/4/17,4/24/17,Aaron,S.,Adams,"Adams, Aaron",Not Found
City of Columbus,Alderperson District 3,Alderperson District 3,1,Pete Adams,113,34.88,321,0,4/6/21,2,4/26/21,4/4/23,4/24/23,Pete,,Adams,"Adams, Pete",Not Found
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Scott Albrecht,199,38.05,523,0,4/7/15,3,4/27/15,4/3/18,4/23/18,Scott,,Albrecht,"Albrecht, Scott",Not Found
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,2,Carol Sue Albright,7,50,14,1,4/13/20,3,4/27/20,4/4/23,4/24/23,Carol,Sue,Albright,"Albright, Carol",Not Found
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,2,Carol Sue Albright,2,50,4,1,4/4/17,3,4/24/17,4/7/20,4/27/20,Carol,Sue,Albright,"Albright, Carol",Not Found
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,2,Carol Sue Albright,6,42.86,14,1,4/4/23,3,4/24/23,4/7/26,4/27/26,Carol,Sue,Albright,"Albright, Carol",Not Found
City of Columbus,Alderperson District 3,Alderperson District 3,1,Shelly Albright,208,64.2,321,1,4/6/21,2,4/26/21,4/4/23,4/24/23,Shelly,,Albright,"Albright, Shelly",Not Found
Village of Friesland,Village Trustee,Village Trustee Village of Friesland,2,Ronald Alsum,53,57.61,92,1,4/2/13,2,4/22/13,4/7/15,4/27/15,Ronald,,Alsum,"Alsum, Ronald",Not Found
Village of Friesland,Village Trustee,Village Trustee Village of Friesland,2,Ronald Alsum,71,53.79,131,1,4/2/19,2,4/22/19,4/6/21,4/26/21,Ronald,,Alsum,"Alsum, Ronald",Not Found
